,URBRUR,REGION,AGE,edu_attainment,occupation,gender,length_withoutfood,length_withoutcleanh20,length_withoutmeds,length_withoutfuel,length_withoutcash,frequency_sansfood,living_conditions,remittances,compare_conditions,econ_conditions,Qwelfare
326,2,304,60,12,0,1,1,1,1,0,1,7,4,0,4,4,0
327,2,304,35,3,0,2,3,1,1,0,3,3,1,0,3,2,0
328,2,304,65,0,0,1,2,1,2,1,3,5,1,0,3,2,0
329,2,304,31,8,0,2,0,0,0,0,2,4,3,0,3,2,0.75
330,2,304,68,3,0,1,0,0,1,0,1,7,2,0,2,2,0
331,2,304,36,12,0,2,0,0,1,0,1,7,3,0,4,3,0.75
332,2,304,41,5,0,1,1,1,0,0,1,7,2,0,4,4,0.5
333,2,304,35,8,0,1,1,2,1,1,3,5,2,0,3,2,0.5
334,2,304,41,12,0,1,1,0,1,1,2,1,2,0,3,2,0
335,2,304,34,14,1,2,0,0,1,0,1,7,4,0,4,3,0.75
336,2,304,32,3,0,2,1,0,1,0,2,4,3,0,9,2,0
337,2,304,31,14,1,1,0,0,0,0,0,7,3,0,4,2,0
338,2,304,30,3,0,2,0,2,1,2,0,5,2,0,1,2,0
339,2,304,30,5,0,1,0,0,1,0,1,7,2,0,3,1,0.5
340,2,304,22,5,0,1,1,0,1,0,3,5,1,0,1,4,0.5
341,2,304,54,3,0,2,3,1,1,1,3,5,2,0,3,1,0.5
342,2,304,26,5,0,2,1,0,1,0,2,5,2,0,3,2,0
343,2,304,37,8,1,1,1,0,1,0,2,3,3,0,4,2,0.5
344,2,304,41,5,0,1,0,0,0,0,0,7,3,0,3,3,0.5
345,2,304,62,3,0,2,0,1,0,0,1,7,3,2,4,2,0.5
346,2,304,40,3,0,2,1,1,2,0,1,3,2,0,3,1,0.5
347,2,304,56,3,0,1,0,0,2,0,1,2,2,0,2,2,0.5
348,2,304,44,12,1,1,2,0,0,1,3,4,2,0,4,4,0.5
349,2,304,28,5,0,2,0,0,0,0,1,7,3,0,4,4,0
350,2,304,33,12,0,2,1,0,1,0,2,2,4,0,3,4,0
351,2,304,65,5,1,1,1,2,2,1,2,3,2,0,3,2,0
352,2,304,24,12,1,1,0,0,0,0,0,7,4,0,4,2,0
353,2,304,30,5,0,2,0,0,0,0,1,7,3,0,4,2,0.5
354,2,304,28,12,1,1,1,0,1,0,1,7,2,0,3,4,0.5
355,2,304,31,8,1,2,0,0,0,0,1,7,2,0,3,2,0
356,2,304,52,5,0,2,1,2,1,1,2,3,2,0,2,2,0.5
357,2,304,58,12,1,1,1,0,0,0,0,7,2,4,4,4,0.5
358,2,304,34,5,0,2,1,0,1,1,2,3,2,0,2,2,0.5
359,2,304,70,8,0,1,1,0,1,0,1,7,2,0,4,1,0
360,1,304,51,0,0,2,0,0,1,0,1,7,3,0,9,1,0.75
361,1,304,36,14,1,1,0,0,0,0,0,7,4,0,4,2,0.5
